name,author_title,review_text,review_rating,review_datetime_utc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Naomi Aldebaran (Naomi),"Lumayan lah, harga ngepas juga",4,06/06/2025 10:30:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,gubuGSudra entertainment,Waterpark jaas permai merupakan salah satu destinasi wisata air di trenggalek yang paling lengkap.. Menyediakan banyak sekali wahana  permainan air. Berbagai jenis prosotan dll. Disiji juga tersedia ruang ganti dan toilet yang sangat memadai. Selain itu tersedia juga play groun untuk anak yang lagi males basah2an.. Persewaan pelampung dan perlengkapan renang sederhana juga tersedia disini. Untuk tiket harganya relatif terjangkau 20.000 rupiah...,5,05/13/2025 01:57:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,X BALL,,5,05/01/2025 03:14:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Kherenhapukh Sitanggang,"Prosotan yg biru kuning yg tinggi ga dinyalai, pas tanya ke mas² penjaga katanya dinyalai sore tapi jawabnya kagok, dan smpe balik tutup ga dinyalai, tanya sama bapak² petugasnya jawabnya kagok juga katanya pas minggu, tapi ga ditulis kalo dinyalai hari minggu, 3 bulan yg lalu papa mama adek saya juga pas weekdays kesini dinyalai  kok, didepan harusnya tiket di kasi ini engga dikasi, petugas nya mau ambil untung atau gmn gatau wkwk pdhl bahar 30 karna lebaran tapi petugas loketnya ga ngasi tiket+perosotan ga dinyalai+ petugas  ditanyai selalu kagok ga pasti banyak alasan, padahal saya dr dulu suka kesini dr awal dibangun",1,04/07/2025 08:36:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Nabila Hasna Amira,,5,02/17/2025 14:08:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Iskan. Azizi,"Mohon infonya, apakah tempat ini benar masih buka???
Sedang merencanakan berlibur kesini tombongan bersama anak² dengar² kok sudah tutup.
Sekali lagi mohon informasi sebenarnya. Terimakasih🙏🙏🙏",5,02/16/2025 11:01:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Ratih Pradnya,"weekdays 10k/person. anak di atas 2 tahun bayar yaa. kalo di bawah itu msh gratis.
bersih. kamar mandi dan tempat gantinya jg bersih. kadar kaporit cukup rendah ga bikin perih di mata. ada banyak gazebo².
lokernya sepertinya tdk difungsikan.
ada 2 waterslide yg ga diaktifkan.
untuk ticketting cukup ramah.
tp staff di dalam ramah².
kedalaman kolam di 80cm dan 120cm.",5,02/07/2025 11:50:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Martha Diciello,suka banget sama kolam renang nyaaaaaaa,5,01/17/2025 05:34:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Sendy Putra,"Mohon untuk lebih diperhatikan pada lantai dipingir kolam banyak yang tajam atau belum disemen, lalu pada lantai2 yg bekas tambalan jg banyak yg sudah rusak lagi.

Paku2 di gazebo juga mohon diperhatikan karena banyak yg muncul keluar akibatnya banyak celana/baju/tas yg kecantol dan sobek 😁.

Sambungan perosotan/slide mohon diperhatikan juga terdapat beberapa slide yg tidak rata.

Overall Good, kamar mandi/ganti bersih, ada playground, cafenya mantap.",3,12/26/2024 01:43:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Tamami Ikhwan,"Tiket 30rb kemahalan untuk di desa dibanding daerah lain. Tp Air jernih, banyak gazebo, banyak seluncuran dll, sebanding dg harganya",4,12/25/2024 02:27:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Reni qyra,"Gilakkk yaaa tiket 30 rebuuu,,,ya walaupun high season ga segitunyaa jg cari untung harga biasa aja 10 rebuu yakalii naik 2x lipattt😏😏",1,12/25/2024 01:12:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Elsmeyti Indra,"Tempatnya bersih, airnya jernih, banyak gazebo. buka jam 8 pagi - 5 sore, tiket masuk 10rb, sewa ban besar 20rb, sewa ban kecil 15rb..mie sedap tambah telur 12rb",5,12/07/2024 05:19:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Renaldi Nurbani Hakim,,5,09/09/2024 16:06:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,dhanu rendra,Bagus tapi tergolong mahal untuk harga saja tapi untuk kualitas jempol,5,09/08/2024 07:18:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,ida marlina,,5,08/28/2024 15:35:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Imam Samsudin (Isyamkaha),"Water Park terbesar di Trenggalek
Harga murah hanya 10.000
Satu tempat dengan hotel Ja'as permai
Semoga bertahan selama lamanya
Agar saat berlibur ke Trenggalek ada wahana permainannya",5,08/24/2024 10:46:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Rifa Herma,"Tambah bersih, dateng pas weekdays dan sudah sore. Jadi sepi, berasa berenang private",5,07/23/2024 07:22:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Hesti Trisnawati,"Waterparknya hotel nih, nyaman, ukuran cukup untuk bermain air anak anak. Banyak perosotan. Banyak gazebo jg untuk ortu menunggu. Htm terjangkau",4,06/09/2024 06:59:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,ANNIDA KONVEKSI,,5,05/13/2024 21:47:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Ohhayu In,Tempatnya bagus tapi sayang ada sesuatu yg tajam didalam kolam sampek kaki saya berdarah sakit bgtt😭😭 mohon di perbaiki demi keamanan anak anak..,2,05/07/2024 11:06:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Nayla Syaffia azzahra,,4,05/01/2024 03:17:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Binghai International,TUTUP JAM BERAPA,3,04/12/2024 09:41:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Galih I-one P,,5,01/20/2024 11:04:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Arin Praja,,5,01/13/2024 01:32:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,yulie aniee,"Tiket 30rb mahal banget ndak masuk akal di kota kecil.. Wahana seluncuran juga ndak dinyalakan, pelayanan buruk, sibuk cari untung sampek lupa pelayanan terhadap konsumen.. Burukkk",1,12/23/2023 02:14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,sufildzah atiqah,"sabtu 15rb, kalau minggu 20rb dpt makan... semua tempat bersih",5,07/16/2023 03:56:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,RaDam Purwanto,"Petugas di FFEE Shop nya ada yang kurang ramah, penukaran voucher makan tidak segera dilayani dan tempat makan berkuah panas seharusnya tidak menggunakan styrofoam",3,07/15/2023 08:41:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Heri Susanto,,5,06/24/2023 06:15:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Joko Subekti,Nyaman,5,01/12/2023 02:39:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Croffle SEHATI,,5,05/31/2022 02:43:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Habiburrochman Habiburrochman,,4,05/08/2022 05:38:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Rosidah Rfq,"- Sekarang harga tiket jauh lebih murah yakni 10K/orang dan free 1 tiket untuk yang lebih dari 3 orang kalau gak salah
- Kamar mandi & WC bersih, luas
- View yg bagus apalagi waktu siang cerah
- Bisa untuk have fun dan latihan renang ringan",4,03/17/2021 23:36:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Danis “Danis king” Maulana,10 ribu.saja murah meriah,4,01/07/2020 09:42:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,Pur Wantex,,5,10/19/2019 20:56:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterpark Jaas Permai,NRAS,,5,04/03/2019 08:49:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
